"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.824367200E-2,-8.999999613E-3,1.519999951E-1,6.000000052E-3,1.523843775E-1
1.032242870E-1,-7.000000216E-3,1.330000013E-1,4.000000190E-3,1.332441382E-1
1.082051640E-1,-6.000000052E-3,1.199999973E-1,3.000000026E-3,1.201873511E-1
1.131857810E-1,-6.000000052E-3,1.180000007E-1,1.000000047E-3,1.181566764E-1
1.181663970E-1,-7.000000216E-3,1.220000014E-1,0.000000000E0,1.222006560E-1
1.231470680E-1,-7.000000216E-3,1.140000001E-1,-1.000000047E-3,1.142190878E-1
1.281276860E-1,-8.000000380E-3,1.220000014E-1,-2.000000095E-3,1.222783723E-1
1.331085300E-1,-7.000000216E-3,9.899999946E-2,-2.000000095E-3,9.926731535E-2
1.380891660E-1,-7.000000216E-3,9.499999881E-2,-3.000000026E-3,9.530477311E-2
1.430698560E-1,-8.000000380E-3,1.030000001E-1,-3.000000026E-3,1.033537616E-1
1.480504840E-1,-1.099999994E-2,1.340000033E-1,-3.000000026E-3,1.344842031E-1
1.530310990E-1,-1.300000027E-2,1.410000026E-1,-3.000000026E-3,1.416298018E-1
1.580119430E-1,-4.000000190E-3,4.899999872E-2,-1.000000047E-3,4.917316215E-2
1.629925610E-1,1.000000047E-3,-1.200000010E-2,0.000000000E0,1.204159469E-2
1.679732510E-1,4.000000190E-3,-5.400000140E-2,0.000000000E0,5.414794689E-2
1.729538690E-1,6.000000052E-3,-7.000000030E-2,0.000000000E0,7.025667258E-2
1.779347270E-1,-8.999999613E-3,-4.600000009E-2,3.599999845E-2,5.910160649E-2
1.829153440E-1,-3.900000080E-2,-4.600000009E-2,5.700000003E-2,8.298192619E-2
1.878960390E-1,-9.200000018E-2,-7.400000095E-2,4.800000042E-2,1.274519526E-1
1.928766570E-1,-1.650000066E-1,-7.199999690E-2,3.900000080E-2,1.842009820E-1
1.978575010E-1,-2.179999948E-1,-3.599999845E-2,-7.000000216E-3,2.210633339E-1
2.028381460E-1,-2.610000074E-1,-2.099999972E-2,-7.800000161E-2,2.732142092E-1
2.078187620E-1,-3.030000031E-1,-4.999999888E-3,-1.289999932E-1,3.293554313E-1
2.127994520E-1,-3.059999943E-1,4.000000190E-3,-1.759999990E-1,3.530269057E-1
2.177800900E-1,-3.170000017E-1,2.099999972E-2,-2.140000015E-1,3.830483021E-1
2.227609340E-1,-2.870000005E-1,5.900000036E-2,-2.119999975E-1,3.616545303E-1
2.277415060E-1,-2.720000148E-1,6.599999964E-2,-1.969999969E-1,3.422703709E-1
2.327221210E-1,-2.240000069E-1,5.000000075E-2,-2.090000063E-1,3.104142487E-1
2.377027370E-1,-1.630000025E-1,3.999999911E-2,-2.119999975E-1,2.703941562E-1
2.426834230E-1,-1.120000035E-1,2.800000086E-2,-2.140000015E-1,2.431542751E-1
2.476640410E-1,-8.100000024E-2,4.199999943E-2,-2.070000023E-1,2.262167123E-1
2.526448850E-1,-7.299999893E-2,7.800000161E-2,-2.280000001E-1,2.517876092E-1
2.576255010E-1,-9.099999815E-2,1.209999993E-1,-2.770000100E-1,3.156754743E-1
2.626061910E-1,-1.739999950E-1,1.599999964E-1,-3.600000143E-1,4.306692552E-1
2.675868000E-1,-1.949999928E-1,1.790000051E-1,-4.339999855E-1,5.083522267E-1
2.725676440E-1,-1.829999983E-1,1.669999957E-1,-4.679999948E-1,5.295299737E-1
2.775482610E-1,-1.879999936E-1,1.669999957E-1,-4.839999974E-1,5.454255161E-1
2.825289610E-1,-2.739999890E-1,2.450000048E-1,-5.059999824E-1,6.254094487E-1
2.875095780E-1,-3.109999895E-1,3.190000057E-1,-5.070000291E-1,6.749303865E-1
2.924904220E-1,-2.890000045E-1,2.540000081E-1,-5.019999743E-1,6.324879294E-1
2.974710400E-1,-2.380000055E-1,1.129999980E-1,-4.830000103E-1,5.501836167E-1
3.024516550E-1,-1.420000046E-1,4.999999888E-3,-4.440000057E-1,4.661813021E-1
3.074323310E-1,-2.199999988E-2,-3.599999845E-2,-3.689999878E-1,3.714040804E-1
3.124129490E-1,8.100000024E-2,-2.400000021E-2,-2.890000045E-1,3.010946739E-1
3.173937930E-1,1.299999952E-1,-1.999999955E-2,-1.879999936E-1,2.294427953E-1
3.223743760E-1,1.770000011E-1,-2.500000037E-2,-1.080000028E-1,2.088492303E-1
3.273550670E-1,2.060000002E-1,-6.599999964E-2,-1.400000043E-2,2.167671563E-1
3.323356840E-1,1.889999956E-1,-1.159999967E-1,5.400000140E-2,2.282389049E-1
3.373165570E-1,1.749999970E-1,-1.309999973E-1,1.250000000E-1,2.518154051E-1
3.422971750E-1,1.449999958E-1,-1.330000013E-1,2.000000030E-1,2.805601546E-1
3.472778650E-1,9.099999815E-2,-1.379999965E-1,2.430000007E-1,2.938945373E-1
3.522584820E-1,8.000000380E-3,-1.360000074E-1,2.500000000E-1,2.847103827E-1
3.572393270E-1,-6.499999762E-2,-1.309999973E-1,2.090000063E-1,2.550823428E-1
3.622199100E-1,-1.860000044E-1,-1.689999998E-1,1.379999965E-1,2.867071687E-1
3.672005250E-1,-3.280000091E-1,-1.979999989E-1,4.800000042E-2,3.861243395E-1
3.721812160E-1,-4.779999852E-1,-1.759999990E-1,-4.899999872E-2,5.117235439E-1
3.771618530E-1,-6.140000224E-1,-1.759999990E-1,-1.379999965E-1,6.534646327E-1
3.821426970E-1,-7.030000091E-1,-1.720000058E-1,-2.109999955E-1,7.538660444E-1
3.871233150E-1,-8.000000119E-1,-1.840000004E-1,-2.409999967E-1,8.555331774E-1
3.921040050E-1,-9.020000100E-1,-1.940000057E-1,-2.739999890E-1,9.624531232E-1
3.970846220E-1,-1.013000011E0,-1.990000010E-1,-3.249999881E-1,1.082310037E0
4.020654460E-1,-1.136999965E0,-1.949999928E-1,-3.519999981E-1,1.206108584E0
4.070460640E-1,-1.203999996E0,-2.290000021E-1,-3.470000029E-1,1.273760572E0
4.120266790E-1,-1.223000050E0,-3.310000002E-1,-3.499999940E-1,1.314454304E0
4.170073750E-1,-1.248000026E0,-4.269999862E-1,-3.240000010E-1,1.358237480E0
4.219879920E-1,-1.296000004E0,-5.120000243E-1,-2.479999959E-1,1.415367102E0
4.269688460E-1,-1.404999971E0,-5.279999971E-1,-1.840000004E-1,1.512172251E0
4.319494640E-1,-1.574000001E0,-5.189999938E-1,-1.529999971E-1,1.664405598E0
4.369301540E-1,-1.690000057E0,-5.249999762E-1,-1.729999930E-1,1.778104093E0
4.419108150E-1,-1.725999951E0,-5.600000024E-1,-2.259999961E-1,1.828592856E0
4.468916590E-1,-1.733000040E0,-6.359999776E-1,-2.649999857E-1,1.864942386E0
4.518722770E-1,-1.715000033E0,-7.139999866E-1,-2.590000033E-1,1.875660443E0
