"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.420547900E-2,7.100000232E-2,-2.599999905E-1,1.099999994E-2,2.697443148E-1
9.918640700E-2,6.700000167E-2,-2.389999926E-1,4.999999888E-3,2.482639657E-1
1.041673300E-1,4.100000113E-2,-1.350000054E-1,0.000000000E0,1.410886301E-1
1.091482530E-1,-1.300000027E-2,3.900000080E-2,0.000000000E0,4.110961043E-2
1.141291600E-1,-7.800000161E-2,2.150000036E-1,8.000000380E-3,2.288514841E-1
1.191100830E-1,-1.220000014E-1,3.210000098E-1,1.300000027E-2,3.436480854E-1
1.240909870E-1,-1.239999980E-1,3.199999928E-1,1.099999994E-2,3.433613183E-1
1.290719100E-1,-8.699999750E-2,2.310000062E-1,4.999999888E-3,2.468906690E-1
1.340527560E-1,-3.900000080E-2,1.089999974E-1,0.000000000E0,1.157670052E-1
1.390337120E-1,-1.799999923E-2,5.200000107E-2,0.000000000E0,5.502726673E-2
1.440146350E-1,-1.200000010E-2,3.900000080E-2,-1.000000047E-3,4.081666406E-2
1.489955580E-1,-8.999999613E-3,3.099999949E-2,-1.000000047E-3,3.229550993E-2
1.539765090E-1,-3.000000026E-3,1.099999994E-2,0.000000000E0,1.140175420E-2
1.589574320E-1,7.000000216E-3,-2.700000070E-2,1.000000047E-3,2.791057221E-2
1.639383410E-1,2.500000037E-2,-9.499999881E-2,4.000000190E-3,9.831581660E-2
1.689192640E-1,4.100000113E-2,-1.580000073E-1,6.000000052E-3,1.633432043E-1
1.739001870E-1,2.000000095E-3,-2.039999962E-1,7.000000216E-3,2.041298568E-1
1.788808900E-1,3.999999911E-2,-2.500000000E-1,-3.599999845E-2,2.557264160E-1
1.838618120E-1,1.270000041E-1,-2.599999905E-1,-1.400000006E-1,3.214482793E-1
1.888429650E-1,2.469999939E-1,-2.809999883E-1,-2.649999857E-1,4.584702639E-1
1.938236560E-1,3.589999974E-1,-3.019999862E-1,-3.980000019E-1,6.152145896E-1
1.988045770E-1,4.920000136E-1,-3.030000031E-1,-5.130000114E-1,7.726849468E-1
2.037854760E-1,6.409999728E-1,-3.359999955E-1,-5.939999819E-1,9.362761028E-1
2.087663990E-1,7.390000224E-1,-3.819999993E-1,-5.720000267E-1,1.009568751E0
2.137473220E-1,7.739999890E-1,-3.880000114E-1,-4.920000136E-1,9.958333220E-1
2.187282200E-1,7.500000000E-1,-3.230000138E-1,-4.149999917E-1,9.159989094E-1
