"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.660794400E-2,-1.330000013E-1,-1.720000058E-1,-2.782999992E0,2.791480245E0
1.015888880E-1,-3.000000026E-3,-7.800000161E-2,-2.634000063E0,2.635156415E0
1.065700390E-1,1.519999951E-1,-1.700000092E-2,-2.614000082E0,2.618470818E0
1.115510410E-1,3.389999866E-1,-2.800000086E-2,-2.588000059E0,2.610258473E0
1.165319350E-1,5.460000038E-1,-8.100000024E-2,-2.618999958E0,2.676534660E0
1.215130870E-1,7.160000205E-1,-1.199999973E-1,-2.642999887E0,2.740894824E0
1.264940260E-1,7.770000100E-1,-1.180000007E-1,-2.457000017E0,2.579632164E0
1.314750240E-1,6.930000186E-1,-8.299999684E-2,-2.137000084E0,2.248089719E0
1.364561780E-1,4.889999926E-1,-1.000000047E-3,-1.725999951E0,1.793933618E0
1.414370890E-1,2.590000033E-1,4.800000042E-2,-1.174000025E0,1.203187874E0
1.464180870E-1,6.700000167E-2,2.099999972E-2,-3.919999897E-1,3.982386121E-1
1.513992410E-1,-7.800000161E-2,-1.499999966E-2,5.730000138E-1,5.784790541E-1
1.563801700E-1,-1.650000066E-1,0.000000000E0,1.531000018E0,1.539865597E0
1.613611680E-1,-2.029999942E-1,3.099999949E-2,2.500000000E0,2.508419821E0
1.663423510E-1,-2.099999934E-1,4.699999839E-2,3.321000099E0,3.327964942E0
1.713233530E-1,-1.959999949E-1,4.800000042E-2,3.990999937E0,3.996098159E0
1.763042810E-1,-6.700000167E-2,2.590000033E-1,4.471000195E0,4.478996845E0
1.812854330E-1,4.699999839E-2,4.289999902E-1,4.756999969E0,4.776536266E0
1.862664250E-1,6.899999827E-2,5.220000148E-1,4.946000099E0,4.973948331E0
1.912473480E-1,-1.630000025E-1,5.580000281E-1,4.811999798E0,4.846986186E0
1.962285000E-1,-6.359999776E-1,5.540000200E-1,4.547999859E0,4.625550206E0
2.012094000E-1,-1.090000033E0,5.699999928E-1,4.164000034E0,4.341877054E0
2.061903980E-1,-1.376999974E0,6.690000296E-1,3.805000067E0,4.101428468E0
2.111715520E-1,-1.373000026E0,7.360000014E-1,3.723000050E0,4.035784241E0
2.161524720E-1,-1.159000039E0,7.200000286E-1,3.911999941E0,4.143117747E0
2.211334700E-1,-6.949999928E-1,7.269999981E-1,4.381999969E0,4.495940137E0
2.261146340E-1,3.200000152E-2,8.880000114E-1,5.052999973E0,5.130533769E0
2.310955590E-1,8.489999771E-1,1.250000000E0,5.778999805E0,5.973285504E0
2.360765570E-1,1.582999945E0,1.666000009E0,6.577000141E0,6.966948809E0
2.410577440E-1,2.226000071E0,1.993000031E0,7.440999985E0,8.018454103E0
2.460386690E-1,2.638000011E0,2.180999994E0,8.170000076E0,8.858030610E0
2.510196670E-1,2.694000006E0,2.335000038E0,8.762000084E0,9.459519368E0
2.560008360E-1,2.303999901E0,2.608999968E0,9.201999664E0,9.838297322E0
2.609817610E-1,1.546000004E0,2.944999933E0,9.480999947E0,1.004751216E1
2.659627490E-1,5.709999800E-1,3.296999931E0,9.661000252E0,1.022404887E1
2.709439030E-1,-4.440000057E-1,3.704999924E0,9.767000198E0,1.045554653E1
2.759249050E-1,-1.036000013E0,4.084000111E0,9.840000153E0,1.070410930E1
2.809058190E-1,-8.870000243E-1,4.263999939E0,1.001000023E1,1.091643573E1
2.858869710E-1,-2.300000004E-2,4.211999893E0,1.036699963E1,1.119000238E1
2.908678960E-1,1.067000031E0,4.078999996E0,1.074499989E1,1.154260597E1
2.958489080E-1,1.835999966E0,4.000000000E0,1.099600029E1,1.184410901E1
3.008300620E-1,2.232000113E0,4.011000156E0,1.121000004E1,1.211338300E1
3.058110210E-1,2.437000036E0,4.125999928E0,1.155300045E1,1.250738438E1
3.107920190E-1,2.384999990E0,4.413000107E0,1.206000042E1,1.306163868E1
3.157731730E-1,1.998999953E0,4.967000008E0,1.273299980E1,1.381290606E1
3.207541170E-1,1.483999968E0,5.586999893E0,1.361900043E1,1.479506663E1
3.257351150E-1,8.970000148E-1,6.291999817E0,1.456400013E1,1.589037352E1
3.307160400E-1,2.460000068E-1,7.050000191E0,1.570300007E1,1.721473874E1
3.356971820E-1,6.000000052E-3,7.802999973E0,1.708799934E1,1.878527525E1
3.406781840E-1,3.519999981E-1,8.505999565E0,1.855999947E1,2.041934163E1
