"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.697435100E-2,1.230000034E-1,1.010000035E-1,2.099999972E-2,1.605334904E-1
1.019553530E-1,1.270000041E-1,1.049999967E-1,2.300000004E-2,1.663820914E-1
1.069362760E-1,1.309999973E-1,1.089999974E-1,2.600000054E-2,1.723890911E-1
1.119174280E-1,1.449999958E-1,1.230000034E-1,3.200000152E-2,1.928159737E-1
1.168984300E-1,1.620000005E-1,1.389999986E-1,3.700000048E-2,2.166425623E-1
1.218796060E-1,1.509999931E-1,1.299999952E-1,3.599999845E-2,2.024771507E-1
1.268606080E-1,1.379999965E-1,1.199999973E-1,3.299999982E-2,1.858305637E-1
1.318415310E-1,1.070000008E-1,9.499999881E-2,2.600000054E-2,1.454303956E-1
1.368226630E-1,7.599999756E-2,6.899999827E-2,1.799999923E-2,1.042161185E-1
1.418036650E-1,5.900000036E-2,5.400000140E-2,1.300000027E-2,8.103085956E-2
1.467848130E-1,3.400000185E-2,3.200000152E-2,7.000000216E-3,4.721228893E-2
1.517658150E-1,-9.999999776E-3,-8.999999613E-3,-2.000000095E-3,1.360147010E-2
1.567469670E-1,-4.699999839E-2,-4.600000009E-2,-1.099999994E-2,6.667833123E-2
1.617279970E-1,-7.999999821E-2,-8.100000024E-2,-2.099999972E-2,1.157670063E-1
1.667091490E-1,-9.499999881E-2,-9.899999946E-2,-2.700000070E-2,1.398391923E-1
1.716900740E-1,-1.080000028E-1,-1.140000001E-1,-3.200000152E-2,1.602622873E-1
1.766710960E-1,-7.900000364E-2,-1.199999973E-1,-6.000000052E-3,1.437949927E-1
1.816522490E-1,1.400000043E-2,-1.599999964E-1,6.000000052E-3,1.607233613E-1
1.866332380E-1,1.759999990E-1,-1.969999969E-1,-1.999999955E-2,2.649245146E-1
1.916143890E-1,3.709999919E-1,-2.300000042E-1,-1.379999965E-1,4.578045379E-1
1.965953910E-1,5.479999781E-1,-2.389999926E-1,-2.790000141E-1,6.597469062E-1
2.015763090E-1,7.139999866E-1,-2.409999967E-1,-3.860000074E-1,8.466835212E-1
2.065574610E-1,8.880000114E-1,-2.840000093E-1,-4.449999928E-1,1.033065835E0
2.115384490E-1,1.057000041E0,-3.650000095E-1,-5.080000162E-1,1.228225594E0
2.165196010E-1,1.228000045E0,-4.810000062E-1,-5.609999895E-1,1.433201348E0
2.215006030E-1,1.322000027E0,-5.600000024E-1,-5.860000253E-1,1.550703100E0
2.264817450E-1,1.276999950E0,-5.040000081E-1,-6.150000095E-1,1.504317085E0
2.314627470E-1,1.121999979E0,-4.000000060E-1,-5.989999771E-1,1.333298515E0
2.364438990E-1,9.079999924E-1,-2.360000014E-1,-5.580000281E-1,1.091569521E0
2.414248820E-1,6.740000248E-1,-9.200000018E-2,-4.589999914E-1,8.206223404E-1
2.464058050E-1,4.740000069E-1,9.600000083E-2,-2.860000134E-1,5.618612056E-1
2.513869570E-1,2.960000038E-1,2.619999945E-1,-6.700000167E-2,4.009351564E-1
2.563679300E-1,1.209999993E-1,4.379999936E-1,1.589999944E-1,4.814208060E-1
2.613490820E-1,-1.999999955E-2,5.669999719E-1,4.009999931E-1,6.947589240E-1
2.663301120E-1,-1.720000058E-1,7.009999752E-1,6.090000272E-1,9.443865736E-1
2.713112640E-1,-2.910000086E-1,8.379999995E-1,7.599999905E-1,1.168128841E0
2.762921890E-1,-4.040000141E-1,9.829999804E-1,8.420000076E-1,1.355901540E0
2.812731780E-1,-4.480000138E-1,1.085999966E0,8.719999790E-1,1.463039269E0
2.862543320E-1,-4.149999917E-1,1.115000010E0,8.780000210E-1,1.478625731E0
2.912353340E-1,-3.319999874E-1,1.085999966E0,8.220000267E-1,1.401892992E0
2.962164990E-1,-1.930000037E-1,1.036999941E0,7.260000110E-1,1.280505328E0
3.011975010E-1,-4.899999872E-2,9.459999800E-1,5.889999866E-1,1.115454144E0
3.061786730E-1,1.350000054E-1,8.460000157E-1,4.480000138E-1,9.667704177E-1
3.111595980E-1,3.129999936E-1,7.419999838E-1,2.569999993E-1,8.453295047E-1
3.161408270E-1,5.070000291E-1,6.349999905E-1,7.100000232E-2,8.156684484E-1
3.211217430E-1,6.499999762E-1,5.820000172E-1,-9.499999881E-2,8.776383018E-1
3.261027430E-1,7.440000176E-1,5.550000072E-1,-2.469999939E-1,9.605050917E-1
3.310838950E-1,7.670000196E-1,5.310000181E-1,-3.429999948E-1,9.939311071E-1
3.360648970E-1,7.689999938E-1,4.950000048E-1,-3.569999933E-1,9.817509819E-1
3.410460490E-1,6.940000057E-1,4.720000029E-1,-3.030000031E-1,8.923166548E-1
3.460270650E-1,5.400000215E-1,4.850000143E-1,-1.879999936E-1,7.497793240E-1
3.510082170E-1,3.260000050E-1,5.130000114E-1,-7.400000095E-2,6.123079414E-1
3.559891420E-1,1.330000013E-1,5.460000038E-1,1.099999994E-2,5.620729530E-1
3.609701160E-1,1.300000027E-2,5.720000267E-1,5.799999833E-2,5.750800208E-1
3.659512700E-1,-3.999999911E-2,5.860000253E-1,1.250000000E-1,6.005173016E-1
3.709322720E-1,-5.600000173E-2,6.190000176E-1,1.550000012E-1,6.405638316E-1
3.759134240E-1,-8.000000380E-3,6.119999886E-1,1.570000052E-1,6.318678562E-1
3.808944260E-1,2.500000037E-2,5.690000057E-1,1.700000018E-1,5.943786732E-1
3.858753580E-1,5.999999866E-2,5.849999785E-1,1.389999986E-1,6.042730958E-1
3.908565870E-1,1.080000028E-1,6.140000224E-1,1.089999974E-1,6.328831073E-1
3.958377210E-1,1.710000038E-1,6.690000296E-1,9.200000018E-2,6.966103939E-1
4.008186470E-1,3.569999933E-1,6.560000181E-1,1.539999992E-1,7.625621409E-1
4.057996330E-1,5.920000076E-1,6.209999919E-1,2.249999940E-1,8.869780134E-1
4.107807840E-1,8.859999776E-1,5.600000024E-1,2.730000019E-1,1.083108935E0
4.157617950E-1,1.245000005E0,4.930000007E-1,2.569999993E-1,1.363496612E0
4.207429470E-1,1.666000009E0,4.620000124E-1,2.349999994E-1,1.744770770E0
4.257239830E-1,2.174000025E0,4.429999888E-1,2.220000029E-1,2.229755390E0
4.307051350E-1,2.757999897E0,4.460000098E-1,2.450000048E-1,2.804550667E0
4.356861370E-1,3.384999990E0,4.169999957E-1,3.449999988E-1,3.427993426E0
4.406673320E-1,4.071000099E0,2.700000107E-1,5.149999857E-1,4.112318908E0
4.456483340E-1,4.750999928E0,1.260000020E-1,6.399999857E-1,4.795568402E0
4.506292570E-1,5.464000225E0,-5.099999905E-2,8.109999895E-1,5.524094536E0
4.556104240E-1,6.210999966E0,-2.000000030E-1,8.949999809E-1,6.278339394E0
4.605914260E-1,6.948999882E0,-3.440000117E-1,8.970000148E-1,7.015094040E0
4.655725820E-1,7.703000069E0,-5.299999714E-1,8.949999809E-1,7.772910330E0
4.705535840E-1,8.475000381E0,-7.910000086E-1,8.870000243E-1,8.557925071E0
4.755347320E-1,9.244999886E0,-1.098000050E0,8.349999785E-1,9.347344647E0
4.805157340E-1,9.923999786E0,-1.419000030E0,8.410000205E-1,1.006014979E1
4.854966570E-1,1.043400002E1,-1.700999975E0,8.700000048E-1,1.060748119E1
4.904778090E-1,1.075599957E1,-1.970000029E0,9.120000005E-1,1.097288343E1
4.954588110E-1,1.091399956E1,-2.188999891E0,1.024000049E0,1.117835779E1
5.004399470E-1,1.087600040E1,-2.407000065E0,1.251999974E0,1.120930587E1
5.054209490E-1,1.071300030E1,-2.579999924E0,1.457999945E0,1.111532900E1
5.104021000E-1,1.047700024E1,-2.724999905E0,1.621999979E0,1.094641687E1
5.153831310E-1,1.022500038E1,-2.865000010E0,1.792999983E0,1.076910891E1
5.203642830E-1,9.876000404E0,-2.997999907E0,1.986999989E0,1.051054501E1
5.253452900E-1,9.517000198E0,-3.180999994E0,2.174999952E0,1.026755465E1
5.303264420E-1,9.173000336E0,-3.361000061E0,2.349999905E0,1.004802250E1
5.353074440E-1,8.881999969E0,-3.553999901E0,2.515000105E0,9.891716953E0
5.402885570E-1,8.579999924E0,-3.634000063E0,2.618000031E0,9.678650697E0
5.452695590E-1,8.390000343E0,-3.744999886E0,2.720000029E0,9.582042061E0
5.502507110E-1,8.314999580E0,-3.947999954E0,2.848000050E0,9.635197245E0
5.552317130E-1,8.420999527E0,-4.177999973E0,2.957000017E0,9.854580961E0
5.602126360E-1,8.501000404E0,-4.399000168E0,3.029999971E0,1.003987600E1
5.651937790E-1,8.664999962E0,-4.668000221E0,3.062000036E0,1.030768134E1
5.701747810E-1,8.826000214E0,-4.965000153E0,3.035000086E0,1.057169484E1
5.751559330E-1,8.940999985E0,-5.290999889E0,3.023999929E0,1.082038521E1
5.801369200E-1,8.859999657E0,-5.512000084E0,3.039000034E0,1.086817648E1
5.851180720E-1,8.670999527E0,-5.684999943E0,2.986999989E0,1.079016339E1
5.900990930E-1,8.491000175E0,-5.903999805E0,3.076999903E0,1.078991316E1
